[2026-02-12T09:29:25] BOT STARTED
[2026-02-12T09:29:36] Price: 207.82
[2026-02-12T09:29:46] Price: 207.8
[2026-02-12T09:29:56] Price: 207.91
[2026-02-12T09:30:07] Price: 208.01
[2026-02-12T09:30:16] Price: 208
[2026-02-12T09:30:26] Price: 208.1
[2026-02-12T09:30:36] Price: 208.14
[2026-02-12T09:30:46] Price: 208.08
[2026-02-12T09:30:56] Price: 208.04
[2026-02-12T09:31:06] Price: 208
[2026-02-12T09:31:16] Price: 208
[2026-02-12T09:31:26] Price: 208.1
[2026-02-12T09:31:36] Price: 208
[2026-02-12T09:31:46] Price: 207.98
[2026-02-12T09:31:57] Price: 207.95
[2026-02-12T09:32:06] Price: 207.91
[2026-02-12T09:32:17] Price: 207.91
[2026-02-12T09:32:26] Price: 207.9
[2026-02-12T09:32:37] Price: 207.96
[2026-02-12T09:32:46] Price: 208.14
[2026-02-12T09:33:00] Price: 208.1
[2026-02-12T09:33:06] Price: 208.16
[2026-02-12T09:33:16] Price: 208.13
[2026-02-12T09:59:54] API ERROR: getaddrinfo ENOTFOUND api.groww.in
[2026-02-12T10:00:04] Price: 209.49
[2026-02-12T10:00:04] BUY @ 209.49
[2026-02-12T10:00:14] Price: 209.39
[2026-02-12T10:00:24] Price: 209.35
[2026-02-12T10:00:34] Price: 209.47
[2026-02-12T10:00:44] Price: 209.5
[2026-02-12T10:00:57] Price: 209.93
[2026-02-12T10:01:04] Price: 209.8
[2026-02-12T10:01:14] Price: 209.62
[2026-02-12T10:01:24] Price: 209.74
[2026-02-12T10:01:34] Price: 209.84
[2026-02-12T10:01:44] Price: 209.71
[2026-02-12T10:01:54] Price: 209.74
[2026-02-12T10:02:04] Price: 209.68
[2026-02-12T10:02:14] Price: 209.73
[2026-02-12T10:02:24] Price: 209.65
[2026-02-12T10:02:34] Price: 209.73
[2026-02-12T10:02:44] Price: 209.72
[2026-02-12T10:02:54] Price: 209.71
[2026-02-12T10:03:04] Price: 209.72
[2026-02-12T10:03:14] Price: 209.62
[2026-02-12T10:03:24] Price: 209.59
[2026-02-12T10:03:34] Price: 209.54
[2026-02-12T10:03:44] Price: 209.55
[2026-02-12T10:03:54] Price: 209.5
[2026-02-12T10:04:04] Price: 209.45
[2026-02-12T10:04:14] Price: 209.45
[2026-02-12T10:04:25] Price: 209.4
[2026-02-12T10:04:34] Price: 209.4
[2026-02-12T10:04:44] Price: 209.45
[2026-02-12T10:04:54] Price: 209.45
[2026-02-12T10:05:04] Price: 209.4
[2026-02-12T10:05:14] Price: 209.2
[2026-02-12T10:05:24] Price: 209.2
[2026-02-12T10:05:34] Price: 209.1
[2026-02-12T10:05:44] Price: 209.09
[2026-02-12T10:05:54] Price: 209.19
[2026-02-12T10:06:04] Price: 209.14
[2026-02-12T10:06:14] Price: 209.1
[2026-02-12T10:06:24] Price: 209.19
[2026-02-12T10:06:34] Price: 209.1
[2026-02-12T10:06:44] Price: 209.1
[2026-02-12T10:06:54] Price: 209.15
[2026-02-12T10:07:04] Price: 209.18
[2026-02-12T10:07:14] Price: 209.17
[2026-02-12T10:07:24] Price: 209.2
[2026-02-12T10:07:34] Price: 209.2
[2026-02-12T10:07:44] Price: 209.14
[2026-02-12T10:07:54] Price: 209.01
[2026-02-12T10:08:04] Price: 208.82
[2026-02-12T10:08:14] Price: 208.94
[2026-02-12T10:08:24] Price: 208.91
[2026-02-12T10:08:34] Price: 208.8
[2026-02-12T10:08:34] SELL @ 208.8 | P/L -0.69
[2026-02-12T10:08:44] Price: 208.85
[2026-02-12T10:08:54] Price: 208.64
[2026-02-12T10:09:04] Price: 209.02
[2026-02-12T10:09:14] Price: 209.11
[2026-02-12T10:09:24] Price: 209.05
[2026-02-12T10:09:34] Price: 209
[2026-02-12T10:09:44] Price: 209.17
[2026-02-12T10:09:54] Price: 209.14
[2026-02-12T10:10:04] Price: 209.08
[2026-02-12T10:10:14] Price: 209.08
[2026-02-12T10:10:24] Price: 209.01
[2026-02-12T10:10:34] Price: 208.93
[2026-02-12T10:10:44] Price: 208.93
